movieId,title,genres,genre_ids
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"[28, 12, 14]"
45,To Die For (1995),Comedy|Drama|Thriller,"[35, 18, 53]"
46,How to Make an American Quilt (1995),Drama|Romance,"[18, 10749]"
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"[9648, 53]"
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"[16, 18, 10749]"
49,When Night Is Falling (1995),Drama|Romance,"[18, 10749]"
50,The Usual Suspects (1995),Crime|Mystery|Thriller,"[80, 9648, 53]"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"[35, 18, 10749]"
53,Lamerica (1994),Adventure|Drama,"[12, 18]"
54,The Big Green (1995),Children|Comedy,[35]
55,Georgia (1995),Drama,[18]
57,Home for the Holidays (1995),Drama,[18]
58,"Il) Postman, The (Postino (1994)",Comedy|Drama|Romance,"[35, 18, 10749]"
60,The Indian in the Cupboard (1995),Adventure|Children|Fantasy,"[12, 14]"
61,Eye for an Eye (1996),Drama|Thriller,"[18, 53]"
62,Mr. Holland's Opus (1995),Drama,[18]
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"[35, 80]"
64,Two if by Sea (1996),Comedy|Romance,"[35, 10749]"
65,Bio-Dome (1996),Comedy,[35]
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"[28, 53]"
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"[35, 10749]"
69,Friday (1995),Comedy,[35]
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"[28, 35, 27, 53]"
71,Fair Game (1995),Action,[28]
72,Kicking and Screaming (1995),Comedy|Drama,"[35, 18]"
73,Les Misérables (1995),Drama|War,"[18, 10752]"
74,Bed of Roses (1996),Drama|Romance,"[18, 10749]"
75,Big Bully (1996),Comedy|Drama,"[35, 18]"
76,Screamers (1995),Action|Sci-Fi|Thriller,"[28, 53]"
77,Nico Icon (1995),Documentary,[99]
78,The Crossing Guard (1995),Action|Crime|Drama|Thriller,"[28, 80, 18, 53]"
79,The Juror (1996),Drama|Thriller,"[18, 53]"
80,The (Badkonake sefid) White Balloon (1995),Children|Drama,[18]
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"[80, 18, 10749]"
82,Antonia's Line (Antonia) (1995),Comedy|Drama,"[35, 18]"
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,"[18, 10749]"
85,Angels and Insects (1995),Drama|Romance,"[18, 10749]"
86,White Squall (1996),Action|Adventure|Drama,"[28, 12, 18]"
87,Dunston Checks In (1996),Children|Comedy,[35]
88,Black Sheep (1996),Comedy,[35]
89,Nick of Time (1995),Action|Thriller,"[28, 53]"
92,Mary Reilly (1996),Drama|Horror|Thriller,"[18, 27, 53]"
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,"[35, 27, 10749]"
94,Beautiful Girls (1996),Comedy|Drama|Romance,"[35, 18, 10749]"
95,Broken Arrow (1996),Action|Adventure|Thriller,"[28, 12, 53]"
96,In the Bleak Midwinter (1995),Comedy|Drama,"[35, 18]"
97,La) Hate (Haine (1995),Crime|Drama,"[80, 18]"
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,[99]
100,City Hall (1996),Drama|Thriller,"[18, 53]"
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,"[12, 35, 80, 10749]"
102,Mr. Wrong (1996),Comedy,[35]
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,"[9648, 53]"
104,Happy Gilmore (1996),Comedy,[35]
105,The Bridges of Madison County (1995),Drama|Romance,"[18, 10749]"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,"[35, 18]"
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,"[12, 35]"
108,Catwalk (1996),Documentary,[99]
110,Braveheart (1995),Action|Drama|War,"[28, 18, 10752]"
111,Taxi Driver (1976),Crime|Drama|Thriller,"[80, 18, 53]"
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,"[28, 12, 35, 80]"
113,Before and After (1996),Drama|Mystery,"[18, 9648]"
116,Anne Frank Remembered (1995),Documentary,[99]
117,The Young Poisoner's Handbook (1995),Crime|Drama,"[80, 18]"
118,If Lucy Fell (1996),Comedy|Romance,"[35, 10749]"
119,Steal Little Steal Big (1995),Comedy,[35]
121,The Boys of St. Vincent (1992),Drama,[18]
122,Boomerang (1992),Comedy|Romance,"[35, 10749]"
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,"[18, 9648, 10749]"
125,Flirting With Disaster (1996),Comedy,[35]
126,The NeverEnding Story III (1994),Adventure|Children|Fantasy,"[12, 14]"
128,Jupiter's Wife (1994),Documentary,[99]
129,Pie in the Sky (1996),Comedy|Romance,"[35, 10749]"
132,Jade (1995),Thriller,[53]
135,Down Periscope (1996),Comedy,[35]
137,Man of the Year (1995),Documentary,[99]
140,Up Close and Personal (1996),Drama|Romance,"[18, 10749]"
141,The Birdcage (1996),Comedy,[35]
144,The Brothers McMullen (1995),Comedy,[35]
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,"[28, 35, 80, 18, 53]"
146,The Amazing Panda Adventure (1995),Adventure|Children,[12]
147,The Basketball Diaries (1995),Drama,[18]
148,An Awfully Big Adventure (1995),Drama,[18]
149,Amateur (1994),Crime|Drama|Thriller,"[80, 18, 53]"
150,Apollo 13 (1995),Adventure|Drama|IMAX,"[12, 18]"
151,Rob Roy (1995),Action|Drama|Romance|War,"[28, 18, 10749, 10752]"
152,The Addiction (1995),Drama|Horror,"[18, 27]"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,"[28, 12, 35, 80]"
154,Beauty of the Day (Belle de jour) (1967),Drama,[18]
155,Beyond Rangoon (1995),Adventure|Drama|War,"[12, 18, 10752]"
156,Blue in the Face (1995),Comedy|Drama,"[35, 18]"
157,Canadian Bacon (1995),Comedy|War,"[35, 10752]"
158,Casper (1995),Adventure|Children,[12]
159,Clockers (1995),Crime|Drama|Mystery,"[80, 18, 9648]"
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,"[28, 12, 9648]"
161,Crimson Tide (1995),Drama|Thriller|War,"[18, 53, 10752]"
162,Crumb (1994),Documentary,[99]
163,Desperado (1995),Action|Romance|Western,"[28, 10749, 37]"
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,"[80, 9648, 53]"
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,"[28, 80, 53]"
166,The Doom Generation (1995),Comedy|Crime|Drama,"[35, 80, 18]"
168,First Knight (1995),Action|Drama|Romance,"[28, 18, 10749]"
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,"[12, 18]"
170,Hackers (1995),Action|Adventure|Crime|Thriller,"[28, 12, 80, 53]"
171,Jeffrey (1995),Comedy|Drama,"[35, 18]"
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,"[28, 53]"
173,Judge Dredd (1995),Action|Crime|Sci-Fi,"[28, 80]"
174,Jury Duty (1995),Comedy,[35]
175,Kids (1995),Drama,[18]
176,Living in Oblivion (1995),Comedy,[35]
177,Lord of Illusions (1995),Horror,[27]
178,Love & Human Remains (1993),Comedy|Drama,"[35, 18]"
179,Mad Love (1995),Drama|Romance,"[18, 10749]"
180,Mallrats (1995),Comedy|Romance,"[35, 10749]"
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,[28]
183,Mute Witness (1994),Comedy|Horror|Thriller,"[35, 27, 53]"
184,Nadja (1994),Drama,[18]
185,The Net (1995),Action|Crime|Thriller,"[28, 80, 53]"
186,Nine Months (1995),Comedy|Romance,"[35, 10749]"
187,Party Girl (1995),Comedy,[35]
188,The Prophecy (1995),Fantasy|Horror|Mystery,"[14, 27, 9648]"
189,Reckless (1995),Comedy|Fantasy,"[35, 14]"
190,Safe (1995),Thriller,[53]
191,The Scarlet Letter (1995),Drama|Romance,"[18, 10749]"
193,Showgirls (1995),Drama,[18]
194,Smoke (1995),Comedy|Drama,"[35, 18]"
195,Something to Talk About (1995),Comedy|Drama|Romance,"[35, 18, 10749]"
196,Species (1995),Horror|Sci-Fi,[27]
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,"[28, 80, 18, 9648, 53]"
199,"Les) Umbrellas of Cherbourg, The (Parapluies de Cherbourg (1964)",Drama|Musical|Romance,"[18, 10749]"
201,Three Wishes (1995),Drama|Fantasy,"[18, 14]"
202,Total Eclipse (1995),Drama|Romance,"[18, 10749]"
203,Thanks for Everything! Julie Newmar To Wong Foo (1995),Comedy,[35]
204,Under Siege 2: Dark Territory (1995),Action,[28]
205,Unstrung Heroes (1995),Comedy|Drama,"[35, 18]"
206,Unzipped (1995),Documentary,[99]
207,A Walk in the Clouds (1995),Drama|Romance,"[18, 10749]"
208,Waterworld (1995),Action|Adventure|Sci-Fi,"[28, 12]"
209,White Man's Burden (1995),Drama,[18]
210,Wild Bill (1995),Western,[37]
211,The Browning Version (1994),Drama,[18]
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,"[12, 35, 80, 9648]"
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,[18]
214,Before the Rain (Pred dozhdot) (1994),Drama|War,"[18, 10752]"
215,Before Sunrise (1995),Drama|Romance,"[18, 10749]"
216,Billy Madison (1995),Comedy,[35]
217,The Babysitter (1995),Drama|Thriller,"[18, 53]"
218,Boys on the Side (1995),Comedy|Drama,"[35, 18]"
219,The Cure (1995),Drama,[18]
220,Castle Freak (1995),Horror,[27]
222,Circle of Friends (1995),Drama|Romance,"[18, 10749]"
223,Clerks (1994),Comedy,[35]
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,"[35, 18, 10749]"
225,Disclosure (1994),Drama|Thriller,"[18, 53]"
227,Drop Zone (1994),Action|Thriller,"[28, 53]"
228,Destiny Turns on the Radio (1995),Comedy,[35]
229,Death and the Maiden (1994),Drama|Thriller,"[18, 53]"
230,Dolores Claiborne (1995),Drama|Thriller,"[18, 53]"
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,"[12, 35]"
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,"[35, 18, 10749]"
233,Exotica (1994),Drama,[18]
234,Exit to Eden (1994),Comedy,[35]
235,Ed Wood (1994),Comedy|Drama,"[35, 18]"
236,French Kiss (1995),Action|Comedy|Romance,"[28, 35, 10749]"
237,Forget Paris (1995),Comedy|Romance,"[35, 10749]"
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,[12]
239,A Goofy Movie (1995),Animation|Children|Comedy|Romance,"[16, 35, 10749]"
240,Hideaway (1995),Thriller,[53]
241,Fluke (1995),Children|Drama,[18]
242,Farinelli: il castrato (1994),Drama|Musical,[18]
243,Gordy (1995),Children|Comedy|Fantasy,"[35, 14]"
246,Hoop Dreams (1994),Documentary,[99]
247,Heavenly Creatures (1994),Crime|Drama,"[80, 18]"
248,Houseguest (1994),Comedy,[35]
249,Immortal Beloved (1994),Drama|Romance,"[18, 10749]"
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,[35]
251,The Hunted (1995),Action,[28]
252,I.Q. (1994),Comedy|Romance,"[35, 10749]"
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,"[18, 27]"
254,Jefferson in Paris (1995),Drama,[18]
255,The Jerky Boys (1995),Comedy,[35]
256,Junior (1994),Comedy|Sci-Fi,[35]
257,Just Cause (1995),Mystery|Thriller,"[9648, 53]"
258,A Kid in King Arthur's Court (1995),Adventure|Children|Comedy|Fantasy|Romance,"[12, 35, 14, 10749]"
259,Kiss of Death (1995),Crime|Drama|Thriller,"[80, 18, 53]"
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,"[28, 12]"
261,Little Women (1994),Drama,[18]
262,A Little Princess (1995),Children|Drama,[18]
263,Ladybird Ladybird (1994),Drama,[18]
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,"[18, 14, 10749]"
266,Legends of the Fall (1994),Drama|Romance|War|Western,"[18, 10749, 10752, 37]"
267,Major Payne (1995),Comedy,[35]
269,My Crazy Life (Mi vida loca) (1993),Drama,[18]
270,Love Affair (1994),Drama|Romance,"[18, 10749]"
271,Losing Isaiah (1995),Drama,[18]
272,The Madness of King George (1994),Comedy|Drama,"[35, 18]"
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,"[18, 27]"
274,Man of the House (1995),Comedy,[35]
275,Mixed Nuts (1994),Comedy,[35]
276,Milk Money (1994),Comedy|Romance,"[35, 10749]"
277,Miracle on 34th Street (1994),Drama,[18]
278,Miami Rhapsody (1995),Comedy,[35]
279,My Family (1995),Drama,[18]
280,Murder in the First (1995),Drama|Thriller,"[18, 53]"
281,Nobody's Fool (1994),Comedy|Drama|Romance,"[35, 18, 10749]"
282,Nell (1994),Drama,[18]
283,New Jersey Drive (1995),Crime|Drama,"[80, 18]"
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,"[28, 80]"
285,Beyond Bedlam (1993),Drama|Horror,"[18, 27]"
287,Nina Takes a Lover (1994),Comedy|Romance,"[35, 10749]"
288,Natural Born Killers (1994),Action|Crime|Thriller,"[28, 80, 53]"
289,Only You (1994),Comedy|Romance,"[35, 10749]"
290,Once Were Warriors (1994),Crime|Drama,"[80, 18]"
291,Poison Ivy II (1996),Drama|Thriller,"[18, 53]"
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,"[28, 18, 53]"
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,"[28, 80, 18, 53]"
294,The Perez Family (1995),Comedy|Romance,"[35, 10749]"
295,A Pyromaniac's Love Story (1995),Comedy|Romance,"[35, 10749]"
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,"[35, 80, 18, 53]"
298,Pushing Hands (Tui shou) (1992),Drama,[18]
299,Priest (1994),Drama,[18]
300,Quiz Show (1994),Drama,[18]
301,Picture Bride (Bijo photo) (1994),Drama|Romance,"[18, 10749]"
302,La) Queen Margot (Reine Margot (1994),Drama|Romance,"[18, 10749]"
303,The Quick and the Dead (1995),Action|Thriller|Western,"[28, 53, 37]"
304,Roommates (1995),Comedy|Drama,"[35, 18]"
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,[35]
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,[18]
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,[18]
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,"[35, 18]"
310,Rent-a-Kid (1995),Comedy,[35]
311,Relative Fear (1994),Horror|Thriller,"[27, 53]"
312,Stuart Saves His Family (1995),Comedy,[35]
313,The Swan Princess (1994),Animation|Children,[16]
314,The Secret of Roan Inish (1994),Children|Drama|Fantasy|Mystery,"[18, 14, 9648]"
315,The Specialist (1994),Action|Drama|Thriller,"[28, 18, 53]"
316,Stargate (1994),Action|Adventure|Sci-Fi,"[28, 12]"
317,The Santa Clause (1994),Comedy|Drama|Fantasy,"[35, 18, 14]"
318,The Shawshank Redemption (1994),Crime|Drama,"[80, 18]"
319,Shallow Grave (1994),Comedy|Drama|Thriller,"[35, 18, 53]"
320,Suture (1993),Film-Noir|Thriller,[53]
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,[18]
322,Swimming with Sharks (1995),Comedy|Drama,"[35, 18]"
324,The Sum of Us (1994),Comedy|Drama,"[35, 18]"
325,National Lampoon's Senior Trip (1995),Comedy,[35]
326,To Live (Huozhe) (1994),Drama,[18]
327,Tank Girl (1995),Action|Comedy|Sci-Fi,"[28, 35]"
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,"[27, 53]"
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,"[12, 18]"
330,Tales from the Hood (1995),Action|Crime|Horror,"[28, 80, 27]"
331,Tom & Viv (1994),Drama,[18]
332,Village of the Damned (1995),Horror|Sci-Fi,[27]
333,Tommy Boy (1995),Comedy,[35]
334,Vanya on 42nd Street (1994),Drama,[18]
335,Underneath (1995),Mystery|Thriller,"[9648, 53]"
336,The Walking Dead (1995),Drama|War,"[18, 10752]"
337,What's Eating Gilbert Grape (1993),Drama,[18]
338,Virtuosity (1995),Action|Sci-Fi|Thriller,"[28, 53]"
339,While You Were Sleeping (1995),Comedy|Romance,"[35, 10749]"
340,The War (1994),Adventure|Drama|War,"[12, 18, 10752]"
341,Double Happiness (1994),Drama,[18]
342,Muriel's Wedding (1994),Comedy,[35]
343,The Baby-Sitters Club (1995),Children,[]
344,Ace Ventura: Pet Detective (1994),Comedy,[35]
345,"The Adventures of Priscilla, Queen of the Desert (1994)",Comedy|Drama,"[35, 18]"
346,Backbeat (1993),Drama|Musical,[18]
347,Bitter Moon (1992),Drama|Film-Noir|Romance,"[18, 10749]"
348,Bullets Over Broadway (1994),Comedy,[35]
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,"[28, 80, 18, 53]"
350,The Client (1994),Drama|Mystery|Thriller,"[18, 9648, 53]"
351,Corrina Corrina (1994),Comedy|Drama|Romance,"[35, 18, 10749]"
352,Crooklyn (1994),Comedy|Drama,"[35, 18]"
353,The Crow (1994),Action|Crime|Fantasy|Thriller,"[28, 80, 14, 53]"
354,Cobb (1994),Drama,[18]
355,The Flintstones (1994),Children|Comedy|Fantasy,"[35, 14]"
356,Forrest Gump (1994),Comedy|Drama|Romance|War,"[35, 18, 10749, 10752]"
357,Four Weddings and a Funeral (1994),Comedy|Romance,"[35, 10749]"
358,Higher Learning (1995),Drama,[18]
359,I Like It Like That (1994),Comedy|Drama|Romance,"[35, 18, 10749]"
360,I Love Trouble (1994),Action|Comedy,"[28, 35]"
361,It Could Happen to You (1994),Comedy|Drama|Romance,"[35, 18, 10749]"
362,The Jungle Book (1994),Adventure|Children|Romance,"[12, 10749]"
363,"Die) Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl (1993)",Documentary,[99]
364,The Lion King (1994),Adventure|Animation|Children|Drama|Musical|IMAX,"[12, 16, 18]"
365,Little Buddha (1993),Drama,[18]
366,A) Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale (1994),Drama|Horror|Mystery|Thriller,"[18, 27, 9648, 53]"
367,The Mask (1994),Action|Comedy|Crime|Fantasy,"[28, 35, 80, 14]"
368,Maverick (1994),Adventure|Comedy|Western,"[12, 35, 37]"
369,Mrs. Parker and the Vicious Circle (1994),Drama,[18]
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,"[28, 35]"
371,The Paper (1994),Comedy|Drama,"[35, 18]"
372,Reality Bites (1994),Comedy|Drama|Romance,"[35, 18, 10749]"
373,Red Rock West (1992),Thriller,[53]
374,Richie Rich (1994),Children|Comedy,[35]
376,The River Wild (1994),Action|Thriller,"[28, 53]"
377,Speed (1994),Action|Romance|Thriller,"[28, 10749, 53]"
378,Speechless (1994),Comedy|Romance,"[35, 10749]"
379,Timecop (1994),Action|Sci-Fi|Thriller,"[28, 53]"
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,"[28, 12, 35, 10749, 53]"
381,When a Man Loves a Woman (1994),Drama|Romance,"[18, 10749]"
382,Wolf (1994),Drama|Horror|Romance|Thriller,"[18, 27, 10749, 53]"
383,Wyatt Earp (1994),Western,[37]
384,Bad Company (1995),Action|Crime|Drama,"[28, 80, 18]"
385,A Man of No Importance (1994),Drama,[18]
386,S.F.W. (1994),Drama,[18]
387,A Low Down Dirty Shame (1994),Action|Comedy,"[28, 35]"
388,Boys Life (1995),Drama,[18]
389,Le Colonel Chabert (1994),Drama|Romance|War,"[18, 10749, 10752]"
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,"[28, 80, 18]"
391,Jason's Lyric (1994),Crime|Drama,"[80, 18]"
393,Street Fighter (1994),Action|Adventure|Fantasy,"[28, 12, 14]"
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,"[28, 14]"
406,Federal Hill (1994),Drama,[18]
407,In the Mouth of Madness (1995),Horror|Thriller,"[27, 53]"
408,8 Seconds (1994),Drama,[18]
409,Above the Rim (1994),Crime|Drama,"[80, 18]"
410,Addams Family Values (1993),Children|Comedy|Fantasy,"[35, 14]"
412,The Age of Innocence (1993),Drama,[18]
413,Airheads (1994),Comedy,[35]
414,The Air Up There (1994),Comedy,[35]
415,Another Stakeout (1993),Comedy|Thriller,"[35, 53]"
416,Bad Girls (1994),Western,[37]
417,Barcelona (1994),Comedy|Romance,"[35, 10749]"
418,Being Human (1993),Drama,[18]
419,The Beverly Hillbillies (1993),Comedy,[35]
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,"[28, 35, 80, 53]"
421,Black Beauty (1994),Adventure|Children|Drama,"[12, 18]"
422,Blink (1994),Thriller,[53]
423,Blown Away (1994),Action|Thriller,"[28, 53]"
424,Blue Chips (1994),Drama,[18]
425,Blue Sky (1994),Drama|Romance,"[18, 10749]"
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,"[27, 53]"
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,"[18, 9648, 10749, 53]"
428,A Bronx Tale (1993),Drama,[18]
429,Cabin Boy (1994),Comedy,[35]
430,Calendar Girl (1993),Comedy|Drama,"[35, 18]"
431,Carlito's Way (1993),Crime|Drama,"[80, 18]"
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,"[12, 35, 37]"
433,Clean Slate (1994),Comedy,[35]
434,Cliffhanger (1993),Action|Adventure|Thriller,"[28, 12, 53]"
435,Coneheads (1993),Comedy|Sci-Fi,[35]
436,Color of Night (1994),Drama|Thriller,"[18, 53]"
437,Cops and Robbersons (1994),Comedy,[35]
438,The Cowboy Way (1994),Action|Comedy|Drama,"[28, 35, 18]"
440,Dave (1993),Comedy|Romance,"[35, 10749]"
441,Dazed and Confused (1993),Comedy,[35]
442,Demolition Man (1993),Action|Adventure|Sci-Fi,"[28, 12]"
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,"[35, 10749]"
445,Fatal Instinct (1993),Comedy,[35]
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,"[18, 10749]"
448,Fearless (1993),Drama,[18]
449,Fear of a Black Hat (1994),Comedy,[35]
450,With Honors (1994),Comedy|Drama,"[35, 18]"
451,Flesh and Bone (1993),Drama|Mystery|Romance,"[18, 9648, 10749]"
452,Widows' Peak (1994),Drama,[18]
453,For Love or Money (1993),Comedy|Romance,"[35, 10749]"
454,The Firm (1993),Drama|Thriller,"[18, 53]"
455,Free Willy (1993),Adventure|Children|Drama,"[12, 18]"
456,Fresh (1994),Crime|Drama|Thriller,"[80, 18, 53]"
457,The Fugitive (1993),Thriller,[53]
458,Geronimo: An American Legend (1993),Drama|Western,"[18, 37]"
459,The Getaway (1994),Action|Adventure|Crime|Drama|Romance|Thriller,"[28, 12, 80, 18, 10749, 53]"
460,Getting Even with Dad (1994),Comedy,[35]
461,Go Fish (1994),Drama|Romance,"[18, 10749]"
464,Hard Target (1993),Action|Adventure|Crime|Thriller,"[28, 12, 80, 53]"
466,Hot Shots! Part Deux (1993),Action|Comedy|War,"[28, 35, 10752]"
467,Live Nude Girls (1995),Comedy,[35]
468,The Englishman Who Went Up a Hill But Came Down a Mountain (1995),Comedy|Romance,"[35, 10749]"
469,The House of the Spirits (1993),Drama|Romance,"[18, 10749]"
470,House Party 3 (1994),Comedy,[35]
471,The Hudsucker Proxy (1994),Comedy,[35]
472,I'll Do Anything (1994),Comedy|Drama,"[35, 18]"
473,In the Army Now (1994),Comedy|War,"[35, 10752]"
474,In the Line of Fire (1993),Action|Thriller,"[28, 53]"
475,In the Name of the Father (1993),Drama,[18]
476,The Inkwell (1994),Comedy|Drama,"[35, 18]"
477,What's Love Got to Do with It? (1993),Drama|Musical,[18]
478,Jimmy Hollywood (1994),Comedy|Crime|Drama,"[35, 80, 18]"
479,Judgment Night (1993),Action|Crime|Thriller,"[28, 80, 53]"
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,"[28, 12, 53]"
481,Kalifornia (1993),Drama|Thriller,"[18, 53]"
482,Killing Zoe (1994),Crime|Drama|Thriller,"[80, 18, 53]"
484,Lassie (1994),Adventure|Children,[12]
485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,"[28, 12, 35, 14]"
486,Life with Mikey (1993),Comedy,[35]
487,Lightning Jack (1994),Comedy|Western,"[35, 37]"
488,M. Butterfly (1993),Drama|Romance,"[18, 10749]"
489,Made in America (1993),Comedy,[35]
490,Malice (1993),Thriller,[53]
491,The Man Without a Face (1993),Drama,[18]
492,Manhattan Murder Mystery (1993),Comedy|Mystery,"[35, 9648]"
493,Menace II Society (1993),Action|Crime|Drama,"[28, 80, 18]"
494,Executive Decision (1996),Action|Adventure|Thriller,"[28, 12, 53]"
