movieId,title,genres
67,Big Bully (1996),35|18
68,Screamers (1995),28|53
69,Nico Icon (1995),99
70,The Crossing Guard (1995),28|80|18|53
71,The Juror (1996),18|53
72,The (Badkonake sefid) White Balloon (1995),18
73,Things to Do in Denver When You're Dead (1995),80|18|10749
74,Antonia's Line (Antonia) (1995),35|18
75,Once Upon a Time... When We Were Colored (1995),18|10749
76,Angels and Insects (1995),18|10749
77,White Squall (1996),28|12|18
78,Dunston Checks In (1996),35
79,Black Sheep (1996),35
80,Nick of Time (1995),28|53
81,Mary Reilly (1996),18|27|53
82,Vampire in Brooklyn (1995),35|27|10749
83,Beautiful Girls (1996),35|18|10749
84,Broken Arrow (1996),28|12|53
85,In the Bleak Midwinter (1995),35|18
86,La) Hate (Haine (1995),80|18
87,Heidi Fleiss: Hollywood Madam (1995),99
88,City Hall (1996),18|53
89,Bottle Rocket (1996),12|35|80|10749
90,Mr. Wrong (1996),35
91,Unforgettable (1996),9648|53
92,Happy Gilmore (1996),35
93,The Bridges of Madison County (1995),18|10749
94,Nobody Loves Me (Keiner liebt mich) (1994),35|18
95,Muppet Treasure Island (1996),12|35
96,Catwalk (1996),99
97,Braveheart (1995),28|18|10752
98,Taxi Driver (1976),80|18|53
99,Rumble in the Bronx (Hont faan kui) (1995),28|12|35|80
100,Before and After (1996),18|9648
101,Anne Frank Remembered (1995),99
102,The Young Poisoner's Handbook (1995),80|18
103,If Lucy Fell (1996),35|10749
104,Steal Little Steal Big (1995),35
105,The Boys of St. Vincent (1992),18
106,Boomerang (1992),35|10749
107,Chungking Express (Chung Hing sam lam) (1994),18|9648|10749
108,Flirting With Disaster (1996),35
109,The NeverEnding Story III (1994),12|14
110,Jupiter's Wife (1994),99
111,Pie in the Sky (1996),35|10749
112,Jade (1995),53
113,Down Periscope (1996),35
114,Man of the Year (1995),99
115,Up Close and Personal (1996),18|10749
116,The Birdcage (1996),35
117,The Brothers McMullen (1995),35
118,Bad Boys (1995),28|35|80|18|53
119,The Amazing Panda Adventure (1995),12
120,The Basketball Diaries (1995),18
121,An Awfully Big Adventure (1995),18
122,Amateur (1994),80|18|53
123,Apollo 13 (1995),12|18
124,Rob Roy (1995),28|18|10749|10752
125,The Addiction (1995),18|27
126,Batman Forever (1995),28|12|35|80
127,Beauty of the Day (Belle de jour) (1967),18
128,Beyond Rangoon (1995),12|18|10752
129,Blue in the Face (1995),35|18
130,Canadian Bacon (1995),35|10752
131,Casper (1995),12
132,Clockers (1995),80|18|9648
133,Congo (1995),28|12|9648
134,Crimson Tide (1995),18|53|10752
135,Crumb (1994),99
136,Desperado (1995),28|10749|37
137,Devil in a Blue Dress (1995),80|9648|53
138,Die Hard: With a Vengeance (1995),28|80|53
139,The Doom Generation (1995),35|80|18
140,First Knight (1995),28|18|10749
141,Free Willy 2: The Adventure Home (1995),12|18
142,Hackers (1995),28|12|80|53
143,Jeffrey (1995),35|18
144,Johnny Mnemonic (1995),28|53
145,Judge Dredd (1995),28|80
146,Jury Duty (1995),35
147,Kids (1995),18
148,Living in Oblivion (1995),35
149,Lord of Illusions (1995),27
150,Love & Human Remains (1993),35|18
151,Mad Love (1995),18|10749
152,Mallrats (1995),35|10749
153,Mighty Morphin Power Rangers: The Movie (1995),28
154,Mute Witness (1994),35|27|53
155,Nadja (1994),18
156,The Net (1995),28|80|53
157,Nine Months (1995),35|10749
158,Party Girl (1995),35
159,The Prophecy (1995),14|27|9648
160,Reckless (1995),35|14
161,Safe (1995),53
162,The Scarlet Letter (1995),18|10749
163,Showgirls (1995),18
164,Smoke (1995),35|18
165,Something to Talk About (1995),35|18|10749
166,Species (1995),27
167,Strange Days (1995),28|80|18|9648|53
168,"Les) Umbrellas of Cherbourg, The (Parapluies de Cherbourg (1964)",18|10749
169,Three Wishes (1995),18|14
170,Total Eclipse (1995),18|10749
171,Thanks for Everything! Julie Newmar To Wong Foo (1995),35
172,Under Siege 2: Dark Territory (1995),28
173,Unstrung Heroes (1995),35|18
174,Unzipped (1995),99
175,A Walk in the Clouds (1995),18|10749
176,Waterworld (1995),28|12
177,White Man's Burden (1995),18
178,Wild Bill (1995),37
179,The Browning Version (1994),18
180,Bushwhacked (1995),12|35|80|9648
181,Burnt by the Sun (Utomlyonnye solntsem) (1994),18
182,Before the Rain (Pred dozhdot) (1994),18|10752
183,Before Sunrise (1995),18|10749
184,Billy Madison (1995),35
185,The Babysitter (1995),18|53
186,Boys on the Side (1995),35|18
187,The Cure (1995),18
188,Castle Freak (1995),27
189,Circle of Friends (1995),18|10749
190,Clerks (1994),35
191,Don Juan DeMarco (1995),35|18|10749
192,Disclosure (1994),18|53
193,Drop Zone (1994),28|53
194,Destiny Turns on the Radio (1995),35
195,Death and the Maiden (1994),18|53
196,Dolores Claiborne (1995),18|53
197,Dumb & Dumber (Dumb and Dumber) (1994),12|35
198,Eat Drink Man Woman (Yin shi nan nu) (1994),35|18|10749
199,Exotica (1994),18
200,Exit to Eden (1994),35
201,Ed Wood (1994),35|18
202,French Kiss (1995),28|35|10749
203,Forget Paris (1995),35|10749
204,Far From Home: The Adventures of Yellow Dog (1995),12
205,A Goofy Movie (1995),16|35|10749
206,Hideaway (1995),53
207,Fluke (1995),18
208,Farinelli: il castrato (1994),18
209,Gordy (1995),35|14
210,Hoop Dreams (1994),99
211,Heavenly Creatures (1994),80|18
212,Houseguest (1994),35
213,Immortal Beloved (1994),18|10749
214,Heavyweights (Heavy Weights) (1995),35
215,The Hunted (1995),28
216,I.Q. (1994),35|10749
217,Interview with the Vampire: The Vampire Chronicles (1994),18|27
218,Jefferson in Paris (1995),18
219,The Jerky Boys (1995),35
220,Junior (1994),35
221,Just Cause (1995),9648|53
222,A Kid in King Arthur's Court (1995),12|35|14|10749
223,Kiss of Death (1995),80|18|53
224,Star Wars: Episode IV - A New Hope (1977),28|12
225,Little Women (1994),18
226,A Little Princess (1995),18
227,Ladybird Ladybird (1994),18
228,Like Water for Chocolate (Como agua para chocolate) (1992),18|14|10749
229,Legends of the Fall (1994),18|10749|10752|37
230,Major Payne (1995),35
231,My Crazy Life (Mi vida loca) (1993),18
232,Love Affair (1994),18|10749
233,Losing Isaiah (1995),18
234,The Madness of King George (1994),35|18
235,Mary Shelley's Frankenstein (Frankenstein) (1994),18|27
236,Man of the House (1995),35
237,Mixed Nuts (1994),35
238,Milk Money (1994),35|10749
239,Miracle on 34th Street (1994),18
240,Miami Rhapsody (1995),35
241,My Family (1995),18
242,Murder in the First (1995),18|53
243,Nobody's Fool (1994),35|18|10749
244,Nell (1994),18
245,New Jersey Drive (1995),80|18
246,New York Cop (Nyû Yôku no koppu) (1993),28|80
247,Beyond Bedlam (1993),18|27
248,Nina Takes a Lover (1994),35|10749
249,Natural Born Killers (1994),28|80|53
250,Only You (1994),35|10749
251,Once Were Warriors (1994),80|18
252,Poison Ivy II (1996),18|53
253,Outbreak (1995),28|18|53
254,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),28|80|18|53
255,The Perez Family (1995),35|10749
256,A Pyromaniac's Love Story (1995),35|10749
257,Pulp Fiction (1994),35|80|18|53
258,Pushing Hands (Tui shou) (1992),18
259,Priest (1994),18
260,Quiz Show (1994),18
261,Picture Bride (Bijo photo) (1994),18|10749
262,La) Queen Margot (Reine Margot (1994),18|10749
263,The Quick and the Dead (1995),28|53|37
264,Roommates (1995),35|18
265,Ready to Wear (Pret-A-Porter) (1994),35
266,Three Colors: Red (Trois couleurs: Rouge) (1994),18
267,Three Colors: Blue (Trois couleurs: Bleu) (1993),18
268,Three Colors: White (Trzy kolory: Bialy) (1994),35|18
269,Rent-a-Kid (1995),35
270,Relative Fear (1994),27|53
271,Stuart Saves His Family (1995),35
272,The Swan Princess (1994),16
273,The Secret of Roan Inish (1994),18|14|9648
274,The Specialist (1994),28|18|53
275,Stargate (1994),28|12
276,The Santa Clause (1994),35|18|14
277,The Shawshank Redemption (1994),80|18
278,Shallow Grave (1994),35|18|53
279,Suture (1993),53
280,Strawberry and Chocolate (Fresa y chocolate) (1993),18
281,Swimming with Sharks (1995),35|18
282,The Sum of Us (1994),35|18
283,National Lampoon's Senior Trip (1995),35
284,To Live (Huozhe) (1994),18
285,Tank Girl (1995),28|35
286,Tales from the Crypt Presents: Demon Knight (1995),27|53
287,Star Trek: Generations (1994),12|18
288,Tales from the Hood (1995),28|80|27
289,Tom & Viv (1994),18
290,Village of the Damned (1995),27
291,Tommy Boy (1995),35
292,Vanya on 42nd Street (1994),18
293,Underneath (1995),9648|53
294,The Walking Dead (1995),18|10752
295,What's Eating Gilbert Grape (1993),18
296,Virtuosity (1995),28|53
297,While You Were Sleeping (1995),35|10749
298,The War (1994),12|18|10752
299,Double Happiness (1994),18
300,Muriel's Wedding (1994),35
301,The Baby-Sitters Club (1995),
302,Ace Ventura: Pet Detective (1994),35
303,"The Adventures of Priscilla, Queen of the Desert (1994)",35|18
304,Backbeat (1993),18
305,Bitter Moon (1992),18|10749
306,Bullets Over Broadway (1994),35
307,Clear and Present Danger (1994),28|80|18|53
308,The Client (1994),18|9648|53
309,Corrina Corrina (1994),35|18|10749
310,Crooklyn (1994),35|18
311,The Crow (1994),28|80|14|53
312,Cobb (1994),18
313,The Flintstones (1994),35|14
314,Forrest Gump (1994),35|18|10749|10752
315,Four Weddings and a Funeral (1994),35|10749
316,Higher Learning (1995),18
317,I Like It Like That (1994),35|18|10749
318,I Love Trouble (1994),28|35
319,It Could Happen to You (1994),35|18|10749
320,The Jungle Book (1994),12|10749
321,"Die) Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl (1993)",99
322,The Lion King (1994),12|16|18
323,Little Buddha (1993),18
324,A) Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale (1994),18|27|9648|53
325,The Mask (1994),28|35|80|14
326,Maverick (1994),12|35|37
327,Mrs. Parker and the Vicious Circle (1994),18
328,Naked Gun 33 1/3: The Final Insult (1994),28|35
329,The Paper (1994),35|18
330,Reality Bites (1994),35|18|10749
331,Red Rock West (1992),53
332,Richie Rich (1994),35
333,The River Wild (1994),28|53
334,Speed (1994),28|10749|53
335,Speechless (1994),35|10749
336,Timecop (1994),28|53
337,True Lies (1994),28|12|35|10749|53
338,When a Man Loves a Woman (1994),18|10749
339,Wolf (1994),18|27|10749|53
340,Wyatt Earp (1994),37
341,Bad Company (1995),28|80|18
342,A Man of No Importance (1994),18
343,S.F.W. (1994),18
344,A Low Down Dirty Shame (1994),28|35
345,Boys Life (1995),18
346,Le Colonel Chabert (1994),18|10749|10752
347,Faster Pussycat! Kill! Kill! (1965),28|80|18
348,Jason's Lyric (1994),80|18
349,Street Fighter (1994),28|12|14
350,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),28|14
351,Federal Hill (1994),18
352,In the Mouth of Madness (1995),27|53
353,8 Seconds (1994),18
354,Above the Rim (1994),80|18
355,Addams Family Values (1993),35|14
356,The Age of Innocence (1993),18
357,Airheads (1994),35
358,The Air Up There (1994),35
359,Another Stakeout (1993),35|53
360,Bad Girls (1994),37
361,Barcelona (1994),35|10749
362,Being Human (1993),18
363,The Beverly Hillbillies (1993),35
364,Beverly Hills Cop III (1994),28|35|80|53
365,Black Beauty (1994),12|18
366,Blink (1994),53
367,Blown Away (1994),28|53
368,Blue Chips (1994),18
369,Blue Sky (1994),18|10749
370,Body Snatchers (1993),27|53
371,Boxing Helena (1993),18|9648|10749|53
372,A Bronx Tale (1993),18
373,Cabin Boy (1994),35
374,Calendar Girl (1993),35|18
375,Carlito's Way (1993),80|18
376,City Slickers II: The Legend of Curly's Gold (1994),12|35|37
377,Clean Slate (1994),35
378,Cliffhanger (1993),28|12|53
379,Coneheads (1993),35
380,Color of Night (1994),18|53
381,Cops and Robbersons (1994),35
382,The Cowboy Way (1994),28|35|18
383,Dave (1993),35|10749
384,Dazed and Confused (1993),35
385,Demolition Man (1993),28|12
386,Even Cowgirls Get the Blues (1993),35|10749
387,Fatal Instinct (1993),35
388,Farewell My Concubine (Ba wang bie ji) (1993),18|10749
389,Fearless (1993),18
390,Fear of a Black Hat (1994),35
391,With Honors (1994),35|18
392,Flesh and Bone (1993),18|9648|10749
393,Widows' Peak (1994),18
394,For Love or Money (1993),35|10749
395,The Firm (1993),18|53
396,Free Willy (1993),12|18
397,Fresh (1994),80|18|53
398,The Fugitive (1993),53
399,Geronimo: An American Legend (1993),18|37
400,The Getaway (1994),28|12|80|18|10749|53
401,Getting Even with Dad (1994),35
402,Go Fish (1994),18|10749
403,Hard Target (1993),28|12|80|53
404,Hot Shots! Part Deux (1993),28|35|10752
405,Live Nude Girls (1995),35
406,The Englishman Who Went Up a Hill But Came Down a Mountain (1995),35|10749
407,The House of the Spirits (1993),18|10749
408,House Party 3 (1994),35
409,The Hudsucker Proxy (1994),35
410,I'll Do Anything (1994),35|18
411,In the Army Now (1994),35|10752
412,In the Line of Fire (1993),28|53
413,In the Name of the Father (1993),18
414,The Inkwell (1994),35|18
415,What's Love Got to Do with It? (1993),18
416,Jimmy Hollywood (1994),35|80|18
417,Judgment Night (1993),28|80|53
418,Jurassic Park (1993),28|12|53
419,Kalifornia (1993),18|53
420,Killing Zoe (1994),80|18|53
421,Lassie (1994),12
422,Last Action Hero (1993),28|12|35|14
423,Life with Mikey (1993),35
424,Lightning Jack (1994),35|37
425,M. Butterfly (1993),18|10749
426,Made in America (1993),35
427,Malice (1993),53
428,The Man Without a Face (1993),18
429,Manhattan Murder Mystery (1993),35|9648
430,Menace II Society (1993),28|80|18
431,Executive Decision (1996),28|12|53
432,In the Realm of the Senses (Ai no corrida) (1976),18
433,What Happened Was... (1994),35|18|10749|53
434,Much Ado About Nothing (1993),35|10749
435,Mr. Wonderful (1993),35|10749
436,Mrs. Doubtfire (1993),35|18
437,Naked (1993),18
438,The Next Karate Kid (1994),28|10749
439,No Escape (1994),28|18
440,North (1994),35
441,Orlando (1992),18|14|10749
442,A Perfect World (1993),80|18|53
443,Philadelphia (1993),18
444,The Piano (1993),18|10749
445,Poetic Justice (1993),18
446,The Program (1993),28|18
447,The Puppet Masters (1994),27
448,Radioland Murders (1994),35|9648|10749
449,The Ref (1994),35
450,The Remains of the Day (1993),18|10749
451,Renaissance Man (1994),35|18
452,Rising Sun (1993),28|18|9648
453,The Road to Wellville (1994),35
454,RoboCop 3 (1993),28|80|18|53
455,Robin Hood: Men in Tights (1993),35
456,Romeo Is Bleeding (1993),80|53
457,Romper Stomper (1992),28|18
458,Ruby in Paradise (1993),18
459,Rudy (1993),18
460,Les) Savage Nights (Nuits fauves (1992),18
461,Schindler's List (1993),18|10752
462,The Scout (1994),35|18
463,Searching for Bobby Fischer (1993),18
464,The Secret Garden (1993),18
465,Serial Mom (1994),35|80|27
466,The Shadow (1994),28|12|14|9648
467,Shadowlands (1993),18|10749
468,Short Cuts (1993),18
469,A Simple Twist of Fate (1994),18
470,Sirens (1994),18
471,Six Degrees of Separation (1993),18
472,Sleepless in Seattle (1993),35|18|10749
473,Sliver (1993),53
474,Blade Runner (1982),28|53
475,Son in Law (1993),35|18|10749
476,So I Married an Axe Murderer (1993),35|10749|53
477,Striking Distance (1993),28|80
478,Super Mario Bros. (1993),28|12|35|14
479,Surviving the Game (1994),28|12|53
480,Terminal Velocity (1994),28|9648|53
481,Thirty-Two Short Films About Glenn Gould (1993),18
482,Threesome (1994),35|10749
483,The Nightmare Before Christmas (1993),16|14
484,The Three Musketeers (1993),28|12|35|10749
485,Tombstone (1993),28|18|37
486,True Romance (1993),80|53
487,The War Room (1993),99
488,The Pagemaster (1994),28|12|16|14
489,Welcome to the Dollhouse (1995),35|18
490,Germinal (1993),18|10749
491,Chasers (1994),35
492,Kika (1993),35|18
493,Bhaji on the Beach (1993),35|18
494,Little Big League (1994),35|18
495,Professore! (Io speriamo che me la cavo) Ciao (1992),18
496,Spanking the Monkey (1994),35|18
497,The Little Rascals (1994),35
498,Andre (1994),12|18
499,"La) Escort, The (Scorta (1993)",80|53
500,Princess Caraboo (1994),18
501,The Celluloid Closet (1995),99
502,Dear Diary (Caro Diario) (1994),35|18
503,The Brady Bunch Movie (1995),35
504,Home Alone (1990),35
505,Ghost (1990),35|18|14|10749|53
506,Aladdin (1992),12|16|35
507,Terminator 2: Judgment Day (1991),28
508,Dances with Wolves (1990),12|18|37
509,Batman (1989),28|80|53
510,The Silence of the Lambs (1991),80|27|53
511,Snow White and the Seven Dwarfs (1937),16|18|14
512,Beauty and the Beast (1991),16|14|10749
513,Pinocchio (1940),16|14
514,Pretty Woman (1990),35|10749
515,The Wild Bunch (1969),12|37
516,Love and a .45 (1994),28|35|80
517,A Great Day in Harlem (1994),99
518,One Fine Day (1996),18|10749
519,Candyman: Farewell to the Flesh (1995),14|27
520,Fargo (1996),35|80|18|53
521,Homeward Bound II: Lost in San Francisco (1996),12
522,Heavy Metal (1981),28|12|16|27
523,Hellraiser: Bloodline (1996),28|27
524,The Pallbearer (1996),35
525,Jane Eyre (1996),18|10749
526,Bread and Chocolate (Pane e cioccolata) (1973),35|18
527,The Aristocats (1970),16
528,The (La flor de mi secreto) Flower of My Secret (1995),35|18
529,Two Much (1995),35|10749
530,Ed (1996),35
531,A Thin Line Between Love and Hate (1996),35
532,The Last Supper (1995),18|53
533,Primal Fear (1996),80|18|9648|53
534,All Dogs Go to Heaven 2 (1996),12|16|14|10749
535,Land and Freedom (Tierra y libertad) (1995),18|10752
536,Denise Calls Up (1995),35
537,Theodore Rex (1995),35
538,A Family Thing (1996),35|18
539,Frisk (1995),18
540,Sgt. Bilko (1996),35
541,Jack and Sarah (1995),10749
542,Girl 6 (1996),35|18
543,Diabolique (1996),18|53
544,Nelly & Monsieur Arnaud (1995),18
545,Courage Under Fire (1996),28|80|18|10752
546,Mission: Impossible (1996),28|12|9648|53
547,Cold Fever (Á köldum klaka) (1995),35|18
548,Moll Flanders (1996),18
549,Dragonheart (1996),28|12|14
550,Eddie (1996),35
551,James and the Giant Peach (1996),12|16|14
552,Fear (1996),53
553,Kids in the Hall: Brain Candy (1996),35
554,Underground (1995),35|18|10752
555,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),28
556,Song of the Little Road (Pather Panchali) (1955),18
557,The (Apur Sansar) World of Apu (1959),18
558,Mystery Science Theater 3000: The Movie (1996),35
559,Space Jam (1996),12|16|35|14
560,Barbarella (1968),12|35
561,Some Folks Call It a Sling Blade (1993),18|53
562,The Run of the Country (1995),18
563,une étrange aventure de Lemmy Caution) Alphaville (Alphaville (1965),18|9648|10749|53
564,It's My Party (1996),18
565,Operation Dumbo Drop (1995),28|12|35|10752
566,Mrs. Winterbourne (1996),35|10749
567,Solo (1996),28|53
568,The Substitute (1996),28|80|18
569,True Crime (1996),9648|53
570,Feeling Minnesota (1996),18|10749
571,Delta of Venus (1995),18
572,Angus (1995),35
573,Boys (1996),18
574,The Quest (1996),28|12
575,Sunset Park (1996),18
576,Mulholland Falls (1996),80|18|53
577,The Truth About Cats & Dogs (1996),35|10749
578,Oliver & Company (1988),12|16|35
579,Celtic Pride (1996),35
580,Flipper (1996),12
581,Dead Man (1995),18|9648|37
582,"Le) Horseman on the Roof, The (Hussard sur le toit (1995)",18|10749
583,"Les) Visitors, The (Visiteurs (1993)",35|14
584,Multiplicity (1996),35
585,Wallace & Gromit: The Best of Aardman Animation (1996),12|16|35
586,The Haunted World of Edward D. Wood Jr. (1996),99
587,The Craft (1996),18|14|27|53
588,The Great White Hype (1996),35
589,Last Dance (1996),18
590,Cold Comfort Farm (1995),35
591,Heaven's Prisoners (1996),80|53
592,The Rock (1996),28|12|53
593,Cemetery Man (Dellamorte Dellamore) (1994),27
594,Twister (1996),28|12|10749|53
595,Barb Wire (1996),28
596,Ghost in the Shell (Kôkaku kidôtai) (1995),16
597,Thinner (1996),27|53
598,Spy Hard (1996),35
599,Wallace & Gromit: A Close Shave (1995),16|35
600,The Stupids (1996),35
601,The Arrival (1996),28|53
602,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),35|10752
603,Ashes of Time (Dung che sai duk) (1994),18
604,Maya Lin: A Strong Clear Vision (1994),99
605,Stalingrad (1993),18|10752
606,The Phantom (1996),28|12
607,Striptease (1996),35|80
608,Heavy (1995),18|10749
609,Jack (1996),35|18
610,I Shot Andy Warhol (1996),18
611,Touki Bouki (1973),18
612,Spirits of the Dead (1968),27|9648
613,Trainspotting (1996),35|80|18
614,'Til There Was You (1997),18|10749
615,Independence Day (a.k.a. ID4) (1996),28|12|53
616,Stealing Beauty (1996),18
617,The Fan (1996),18|53
618,The Hunchback of Notre Dame (1996),16|18|10749
619,The Cable Guy (1996),35|53
620,Kingpin (1996),35
621,Eraser (1996),28|18|53
622,The Nutty Professor (1996),35|14|10749
623,An (Un été inoubliable) Unforgettable Summer (1994),18
624,"The Last Klezmer: Leopold Kozlowski, His Life and Music (1994)",99
625,Somebody to Love (1994),18
626,Daylight (1996),28|12|18|53
627,The Frighteners (1996),35|27|53
628,Lone Star (1996),18|9648|37
629,Harriet the Spy (1996),35
630,Phenomenon (1996),18|10749
631,Walking and Talking (1996),35|18|10749
632,She's the One (1996),35|10749
633,A Time to Kill (1996),18|53
634,American Buffalo (1996),80|18
635,Alaska (1996),12
636,Fled (1996),28|12
637,Kazaam (1996),35|14
638,Larger Than Life (1996),35
639,A Very Brady Sequel (1996),35
640,The (La collectionneuse) Collector (1967),18
641,Kaspar Hauser (1993),18|9648
642,The Adventures of Pinocchio (1996),12
643,Joe's Apartment (1996),35|14
644,The First Wives Club (1996),35
645,Ransom (1996),80|53
646,High School High (1996),35
647,Foxfire (1996),18
648,Chain Reaction (1996),28|12|53
649,Matilda (1996),35|14
650,Emma (1996),35|18|10749
651,The Crow: City of Angels (1996),28|53
652,House Arrest (1996),35
653,Les) Eyes Without a Face (Yeux sans visage (1959),27
654,Tales from the Crypt Presents: Bordello of Blood (1996),35|27
655,The Spitfire Grill (1996),18
656,Escape from L.A. (1996),28|12|53
657,Basquiat (1996),18
658,Tin Cup (1996),35|18|10749
659,The Godfather (1972),80|18
660,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),28|35|80|53
661,Bound (1996),80|18|10749|53
662,Carpool (1996),35|80
663,Kansas City (1996),80|18|53
664,Gone Fishin' (1997),35
665,Nothing to Lose (1994),28|80|18
666,Supercop 2 (Project S) (Chao ji ji hua) (1993),28|35|80|53
667,The Relic (1997),27|53
668,The Island of Dr. Moreau (1996),53
669,First Kid (1996),35
670,The Trigger Effect (1996),18|53
671,Bogus (1996),18|14
672,Bulletproof (1996),28|35|80
673,Land Before Time III: The Time of the Great Giving (1995),12|16
674,1-900 (06) (1994),18|10749
675,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),27|53
676,Twelfth Night (1996),35|18|10749
677,Mother Night (1996),18
678,Wild Reeds (Les roseaux sauvages) (1994),18
679,For Whom the Bell Tolls (1943),12|18|10749|10752
680,The Philadelphia Story (1940),35|18|10749
681,Singin' in the Rain (1952),35|10749
682,An American in Paris (1951),10749
683,Funny Face (1957),35
684,Breakfast at Tiffany's (1961),18|10749
685,Vertigo (1958),18|9648|10749|53
686,Rear Window (1954),9648|53
687,It Happened One Night (1934),35|10749
688,Gaslight (1944),18|53
689,The Gay Divorcee (1934),35|10749
690,North by Northwest (1959),28|12|9648|10749|53
691,The Apartment (1960),35|18|10749
692,Some Like It Hot (1959),35|80
693,Charade (1963),35|80|9648|10749|53
694,Casablanca (1942),18|10749
695,The Maltese Falcon (1941),9648
696,My Fair Lady (1964),35|18|10749
697,Sabrina (1954),35|10749
698,Roman Holiday (1953),35|18|10749
699,The Little Princess (1939),18
700,Meet Me in St. Louis (1944),
701,The Wizard of Oz (1939),12|14
702,Gone with the Wind (1939),18|10749|10752
703,My Favorite Year (1982),35
704,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),18|10749
705,Citizen Kane (1941),18|9648
706,2001: A Space Odyssey (1968),12|18
707,All About Eve (1950),18
708,The Women (1939),35
709,Rebecca (1940),18|9648|10749|53
710,Foreign Correspondent (1940),18|9648|53
711,Notorious (1946),10749|53
712,Spellbound (1945),9648|10749|53
713,An Affair to Remember (1957),18|10749
714,To Catch a Thief (1955),80|9648|10749|53
715,Father of the Bride (1950),35
716,The Band Wagon (1953),35
717,Ninotchka (1939),35|10749
718,Love in the Afternoon (1957),35|10749
719,Gigi (1958),
720,The Adventures of Robin Hood (1938),28|12|10749
721,The Mark of Zorro (1940),12
722,Laura (1944),80|9648
723,The Ghost and Mrs. Muir (1947),18|14|10749
724,Lost Horizon (1937),18
725,Top Hat (1935),35|10749
726,To Be or Not to Be (1942),35|18|10752
727,My Man Godfrey (1936),35|10749
728,Giant (1956),18|10749|37
729,East of Eden (1955),18
730,The Thin Man (1934),35|80
731,His Girl Friday (1940),35|10749
732,Around the World in 80 Days (1956),12|35
733,It's a Wonderful Life (1946),18|14|10749
734,Mr. Smith Goes to Washington (1939),18
735,Bringing Up Baby (1938),35|10749
736,Penny Serenade (1941),18|10749
737,Of Human Bondage (1934),18
738,Little Lord Fauntleroy (1936),18
739,The Inspector General (1949),
740,The 39 Steps (1935),18|9648|53
741,Night of the Living Dead (1968),27|53
